<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.08	08:00:00	1.25877	1.25899	1.25546	1.25572	12896	0	0
2023.12.08	12:00:00	1.25572	1.25870	1.25117	1.25456	14646	0	0
2023.12.08	16:00:00	1.25458	1.25623	1.25024	1.25456	19478	0	0
2023.12.08	20:00:00	1.25456	1.25559	1.25425	1.25459	8093	0	0
2023.12.11	00:00:00	1.25266	1.25584	1.25239	1.25458	6961	0	0
2023.12.11	04:00:00	1.25458	1.25470	1.25348	1.25420	6695	0	0
2023.12.11	08:00:00	1.25419	1.25607	1.25350	1.25538	10517	0	0
2023.12.11	12:00:00	1.25539	1.25908	1.25538	1.25810	10242	0	0
2023.12.11	16:00:00	1.25812	1.25820	1.25400	1.25402	12420	0	0
2023.12.11	20:00:00	1.25402	1.25676	1.25382	1.25556	6228	0	0
2023.12.12	00:00:00	1.25536	1.25696	1.25471	1.25650	4389	0	0
2023.12.12	04:00:00	1.25650	1.25839	1.25633	1.25758	5818	0	0
2023.12.12	08:00:00	1.25758	1.25844	1.25428	1.25654	10401	0	0
2023.12.12	12:00:00	1.25655	1.26152	1.25396	1.25434	12999	0	0
2023.12.12	16:00:00	1.25430	1.25716	1.25141	1.25452	16132	0	0
2023.12.12	20:00:00	1.25452	1.25718	1.25430	1.25622	7410	0	0
2023.12.13	00:00:00	1.25624	1.25714	1.25398	1.25592	5062	0	0
2023.12.13	04:00:00	1.25592	1.25606	1.25483	1.25572	5539	0	0
2023.12.13	08:00:00	1.25572	1.25586	1.25174	1.25264	10468	0	0
2023.12.13	12:00:00	1.25261	1.25483	1.25094	1.25394	10586	0	0
2023.12.13	16:00:00	1.25397	1.25476	1.25054	1.25080	12567	0	0
2023.12.13	20:00:00	1.25079	1.26347	1.25002	1.26186	20374	0	0
2023.12.14	00:00:00	1.26143	1.26420	1.26119	1.26406	7879	0	0
2023.12.14	04:00:00	1.26409	1.26528	1.26294	1.26356	11294	0	0
2023.12.14	08:00:00	1.26359	1.26711	1.26122	1.26676	16662	0	0
2023.12.14	12:00:00	1.26674	1.27328	1.26521	1.27273	19441	0	0
2023.12.14	16:00:00	1.27268	1.27942	1.27027	1.27842	21603	0	0
2023.12.14	20:00:00	1.27840	1.27842	1.27482	1.27651	9563	0	0
2023.12.15	00:00:00	1.27656	1.27719	1.27472	1.27548	6224	0	0
2023.12.15	04:00:00	1.27548	1.27742	1.27548	1.27592	9181	0	0
2023.12.15	08:00:00	1.27590	1.27760	1.27400	1.27746	13986	0	0
2023.12.15	12:00:00	1.27747	1.27903	1.26991	1.27110	14541	0	0
2023.12.15	16:00:00	1.27107	1.27300	1.26850	1.27052	18015	0	0
2023.12.15	20:00:00	1.27052	1.27053	1.26686	1.26702	10603	0	0
2023.12.18	00:00:00	1.26815	1.26840	1.26572	1.26816	6868	0	0
2023.12.18	04:00:00	1.26816	1.26998	1.26815	1.26934	8194	0	0
2023.12.18	08:00:00	1.26934	1.27042	1.26656	1.26670	11142	0	0
2023.12.18	12:00:00	1.26672	1.26788	1.26459	1.26670	12542	0	0
2023.12.18	16:00:00	1.26672	1.26706	1.26290	1.26530	13859	0	0
2023.12.18	20:00:00	1.26530	1.26532	1.26338	1.26466	7698	0	0
2023.12.19	00:00:00	1.26437	1.26632	1.26295	1.26529	5021	0	0
2023.12.19	04:00:00	1.26528	1.26646	1.26501	1.26582	8106	0	0
2023.12.19	08:00:00	1.26581	1.27015	1.26513	1.26992	12124	0	0
2023.12.19	12:00:00	1.26991	1.27465	1.26935	1.27432	12158	0	0
2023.12.19	16:00:00	1.27432	1.27620	1.27257	1.27356	15111	0	0
2023.12.19	20:00:00	1.27356	1.27388	1.27161	1.27319	8214	0	0
2023.12.20	00:00:00	1.27308	1.27342	1.27161	1.27196	5489	0	0
2023.12.20	04:00:00	1.27196	1.27257	1.27176	1.27222	5874	0	0
2023.12.20	08:00:00	1.27221	1.27222	1.26476	1.26784	13503	0	0
2023.12.20	12:00:00	1.26785	1.26795	1.26299	1.26612	12314	0	0
2023.12.20	16:00:00	1.26614	1.26826	1.26527	1.26703	14046	0	0
2023.12.20	20:00:00	1.26703	1.26740	1.26252	1.26391	11611	0	0
2023.12.21	00:00:00	1.26364	1.26533	1.26242	1.26422	5604	0	0
